Task,Market Specialization,Application,Framework,Vitis-AI Model Name Zoo Name,License Restriction(s),Copyleft Model Zoo,Model Architecture,Model Research Publication,Dataset,Dataset URL,Input Dims(HWC),FP32 Floating-Point Accuracy,Quantized Accuracy,Ops (G),Percentage Pruned,MLPerf?,"VEK280
E2E throughput (fps) 
Single Thread
1* C20B14CU1 @ 300MHz
AIE-ML fclk=1.18GHz","VEK280
E2E throughput (fps) 
Multi Thread
1* C20B14CU1 @300MHz
AIE-ML fclk=1.18GHz","V70
E2E throughput (fps) 
Multi Thread
1* C20B14CU1 @250MHz Gen4x8
AIE-ML fclk=1.00GHz"
Image Classification,,General,TensorFlow,tf_vgg19_0.39_3.5,Non-Commercial Use Only,No,VGG19,https://arxiv.org/abs/1409.1556,ILSVRC2012,https://www.image-net.org/download.php,224*224*3,0.6954,0.6903,23.78,,,846.90 ,1243.95 ,1020.87 
Image Classification,,General,TensorFlow,tf_vgg19_3.5,Non-Commercial Use Only,No,VGG19,https://arxiv.org/abs/1409.1556,ILSVRC2012,https://www.image-net.org/download.php,224*224*3,0.71,0.7026,39.28,,,571.36 ,718.20 ,691.80 
Image Classification,,General,TensorFlow,tf_ViT_3.5,Non-Commercial Use Only,No,ViT,https://arxiv.org/abs/2010.11929,ILSVRC2012,https://www.image-net.org/download.php,352*352*3,0.8282,0.8254,21.3,,,/,/,/
Object Detection,,General,TensorFlow,tf_yolov3_3.5,,No,YOLOv3,https://arxiv.org/abs/1804.02767,VOC2012,http://host.robots.ox.ac.uk/pascal/VOC/voc2012/,416*416*3,0.7846,0.7744,65.63,,,319.75 ,528.49 ,421.89 
Object Detection,,General,TensorFlow,tf_yolov4-416_3.5,,No,YOLOv4,https://arxiv.org/abs/2004.10934,COCO,https://cocodataset.org/#download,416*416*3,0.477,0.393,60.3,,,192.54 ,350.05 ,232.00 
Object Detection,,General,TensorFlow,tf_yolov4-512_3.5,,No,YOLOv4,https://arxiv.org/abs/2004.10934,COCO,https://cocodataset.org/#download,512*512*3,0.487,0.412,91.2,,,133.80 ,225.89 ,96.77 
Image Classification,,General,TensorFlow 2,tf2_efficientnet-b0_3.5,Non-Commercial Use Only,No,EfficientNet-B0,https://arxiv.org/abs/1905.11946,ILSVRC2012,https://www.image-net.org/download.php,224*224*3,0.7690/0.9320,0.7515/0.9273,0.78,,,/,/,/
Image Classification,,General,TensorFlow 2,tf2_Efficientnet-lite_3.5,Non-Commercial Use Only,No,EfficientNet lite,,ILSVRC2012,https://www.image-net.org/download.php,224*224*3,0.7501,0.7444,0.77,,,2207.26 ,5138.35 ,9842.18 
Image Classification,,General,TensorFlow 2,tf2_inceptionv3_3.5,Non-Commercial Use Only,No,Inception-v3,https://arxiv.org/abs/1512.00567,ILSVRC2012,https://www.image-net.org/download.php,299*299*3,0.7753,0.7694,11.5,,,874.55 ,1761.14 ,1503.39 
Image Classification,,General,TensorFlow 2,tf2_mobilenetv1_3.5,Non-Commercial Use Only,No,MobileNetV1,https://arxiv.org/abs/1704.04861,ILSVRC2012,https://www.image-net.org/download.php,224*224*3,0.7005,0.5603,1.15,,,2380.94 ,5257.80 ,14585.10 
Image Classification,,General,TensorFlow 2,tf2_mobilenetv3_3.5,Non-Commercial Use Only,No,MobileNetV3,https://arxiv.org/abs/1905.02244,ILSVRC2012,https://www.image-net.org/download.php,224*224*3,0.6756/0.8728,0.6536/0.8544,0.132,,,/,/,/
Image Classification,,General,TensorFlow 2,tf2_resnet50_3.5,Non-Commercial Use Only,No,ResNet50,https://arxiv.org/abs/1512.03385,ILSVRC2012,https://www.image-net.org/download.php,224*224*3,0.7513,0.7423,7.76,,,1747.67 ,4653.05 ,3912.34 
Object Detection,,General,TensorFlow 2,tf2_yolov3_3.5,,No,YOLOv3,https://arxiv.org/abs/1804.02767,COCO,https://cocodataset.org/#download,416*416*3,0.377,0.331,65.9,,,267.82 ,521.20 ,414.54 
Semantic Segmentation,Medical Imaging,Medical Segmentation,TensorFlow 2,tf2_2D-UNET_3.5,,No,2D-UNET,,BraTS,https://drive.google.com/file/d/1A2IU8Sgea1h3fYLpYtFb2v7NYdMjvEhU/view,144*144*3,Dice 0.8749                        ,Dice 0.8735,24.6,,,752.19 ,1563.61 ,1177.35 
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
